"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"66",2023,1,1,"Houston",16,"Texas Southern",0,17,21.8,-15.4,0.6924,6.5,-6.8,-5,3.5,7.8,-0.300000000000001,-6.4,-2.3,5.8,-5.6,5.8,-5.8,-6.10000000000001,21.7
"67",2023,1,1,"Houston",16,"Fairleigh Dickinson",0,12,12.3,-28.7,0.7444,1.2,-13.3,-1,0.600000000000001,5.7,-1.5,0.600000000000001,1,1.8,-13,0.100000000000001,-9.1,-5.5,20.6
"68",2023,1,1,"Alabama",1,"Purdue",0,0,-2.5,-4.89999999999999,0.0179,0.5,-5.7,2,0.6,-4.5,4.3,-0.5,13.5,0.5,-6.2,1.2,-3.3,8.60000000000001,1.4
"69",2023,1,1,"Alabama",1,"Kansas",0,2,3.3,-3,0.0403,0.300000000000004,-5.6,1.5,-4.2,5.4,-0.699999999999999,6.9,1.6,1.7,-6,-0.600000000000001,-3.1,3.60000000000001,0.0999999999999996
"70",2023,1,1,"Alabama",2,"UCLA",0,0,3.40000000000001,0.900000000000006,0.0102,1.8,-5.3,3.7,-7.6,0.0999999999999943,0,9.6,5.2,4.2,-5.59999999999999,-0.900000000000006,-3,6.40000000000001,2.1
"71",2023,1,1,"Alabama",2,"Texas",0,3,1.09999999999999,-2.89999999999999,0.0253,0,-6.3,2.5,-6.8,5.5,-1.8,5.2,-1.7,0.800000000000004,-6,-0.100000000000001,-4.6,3.90000000000001,2.6
"72",2023,1,1,"Alabama",2,"Arizona",0,1,-3.5,-7.09999999999999,0.0292,-4.09999999999999,-5.7,0.600000000000001,-0.899999999999999,2.7,1.4,0.200000000000003,6.8,-2,-4.7,-4.40000000000001,-4.7,0.299999999999997,3.1
"73",2023,1,1,"Alabama",2,"Marquette",0,1,-2,-7.69999999999999,0.0447,-3.3,-9.6,3.8,-6.8,7.3,-4.5,9.6,3.8,-4.2,-8.8,-1,-7.1,4.10000000000001,3.1
"74",2023,1,1,"Alabama",3,"Gonzaga",1,1,-8.2,-10.3,0.0241,-5.8,-10.2,4.4,-2.8,2.7,1.6,2.5,6.1,-4.4,-10,-4.6,-6.9,2.7,3.5
"75",2023,1,1,"Alabama",3,"Baylor",2,7,-6.09999999999999,-11.4,0.0477,-0.399999999999999,-9.9,0.899999999999999,-3.9,-0.900000000000006,-3.5,-0.5,1.4,3.8,-12.1,-3.40000000000001,-4.1,5.7,4.9
"76",2023,1,1,"Alabama",3,"Xavier",0,4,-2.2,-10.3,0.0704,-2.9,-8.9,1.5,-0.5,2,2.2,5.9,5.7,0.600000000000001,-7.5,-5.7,-7.8,2.3,5.5
"77",2023,1,1,"Alabama",3,"Kansas State",2,6,5.40000000000001,-4.3,0.0752,1.2,-6,-1,-4.7,2.7,-1.6,-0.299999999999997,-3.90000000000001,2.8,-7.59999999999999,-0.200000000000003,-2,2.7,5.9
"78",2023,1,1,"Alabama",4,"Tennessee",1,6,4.59999999999999,1.2,0.0149,2.40000000000001,-0.899999999999999,0.899999999999999,-6.2,-3,0.700000000000003,5.8,-2.1,3.6,-3.4,0.899999999999999,1.9,7.10000000000001,7.5
"79",2023,1,1,"Alabama",4,"Connecticut",1,4,-2.8,-4.69999999999999,0.0151,-0.799999999999997,-4,0.100000000000001,-3.4,-5.40000000000001,1.4,5.3,-5.90000000000001,1.2,-4.59999999999999,-1.90000000000001,-1.9,5.7,5.6
"80",2023,1,1,"Alabama",4,"Virginia",2,4,6.5,-5.19999999999999,0.1002,1.40000000000001,-6.8,5.3,-3.7,8.3,2.6,2.2,6.7,4.2,-5.3,-1.5,-5.9,11.3,6.6
"81",2023,1,1,"Alabama",4,"Indiana",1,7,3.40000000000001,-8,0.1023,-1.09999999999999,-5.8,2.1,-0.300000000000001,5.8,-0.299999999999997,6.6,2.2,1.4,-4.5,-3.2,-5.1,4.60000000000001,7.3
"82",2023,1,1,"Alabama",5,"Saint Mary's",1,3,3.8,-1.19999999999999,0.0286,0.200000000000003,-5.2,2.6,-3,0.699999999999996,5.8,5.5,2.5,3.6,-4.4,-2.90000000000001,-4.7,10.6,6.7
"83",2023,1,1,"Alabama",5,"San Diego State",1,2,4,-1.19999999999999,0.0298,2.6,-6,1.4,-3.6,2.1,1.8,2.40000000000001,3.4,5.2,-8.7,-0.600000000000001,-1.1,6.60000000000001,4.1
"84",2023,1,1,"Alabama",5,"Duke",0,3,4.2,-4.89999999999999,0.0694,1.6,-4.8,0.800000000000001,-0.600000000000001,-2.40000000000001,1.7,5.9,8.7,3.2,-5.5,0.199999999999996,-2.3,7.5,6.3
"85",2023,1,1,"Alabama",5,"Miami FL",2,4,-1.40000000000001,-13.3,0.1201,-2.3,-9.8,2.6,-2.1,1.8,-1.4,6.7,8.7,-0.299999999999997,-10.6,-3,-5.5,3.90000000000001,7.1
"86",2023,1,1,"Alabama",6,"Creighton",1,8,2.40000000000001,-4.59999999999999,0.0496,-1.59999999999999,-5.8,2.4,1.7,8.3,4.3,8.6,13,0.100000000000001,-4.4,-2.2,-6,4.8,8.7
"87",2023,1,1,"Alabama",6,"Iowa State",2,10,7.2,-2.19999999999999,0.0675,2,-8.6,-0.800000000000001,-9.1,-0.100000000000001,1,8.9,-7.2,3.9,-8.4,-0.100000000000001,-5.7,8.5,7.9
"88",2023,1,1,"Alabama",6,"TCU",1,8,4.8,-5.19999999999999,0.0799,2.5,-6.3,1.9,-5.9,1.4,-3.1,2.8,3.1,2.7,-7.9,3.2,-2.3,2.90000000000001,8
"89",2023,1,1,"Alabama",6,"Kentucky",2,8,0.200000000000003,-9.8,0.0895,1.5,-7.3,1.7,-0.800000000000001,-4.90000000000001,2.1,4.2,2.9,4.2,-7.09999999999999,-1.6,-5,6.7,8.6
"90",2023,1,1,"Alabama",7,"Texas A&M",0,4,1.90000000000001,-5.69999999999999,0.0566,3.7,-6.4,0.699999999999999,-5.1,-2.90000000000001,-2.8,-9.2,-2.3,5.6,-6.2,1,-4.2,6.5,6.5
"91",2023,1,1,"Alabama",7,"Michigan State",3,10,4,-7.09999999999999,0.0964,1.1,-6.6,2.6,1.3,6.4,2.4,10.9,4.2,6.9,-7.4,-5.7,-3.4,7.8,8.2
"92",2023,1,1,"Alabama",7,"Northwestern",2,8,8.40000000000001,-4.09999999999999,0.1084,5.5,-6.9,4.2,-5.7,5.5,0.300000000000001,7,1.2,8.1,-5.4,1.7,-5.8,7.7,9.1
"93",2023,1,1,"Alabama",7,"Missouri",1,5,-1.5,-15.2,0.1495,-2.4,-10.8,3,-8.3,7,-9.7,7.2,-2.40000000000001,-1.3,-10.5,-2.3,-7.3,3.40000000000001,6.6
"94",2023,1,1,"Alabama",8,"Memphis",0,3,1.40000000000001,-5.89999999999999,0.0548,-0.5,-5.3,0.600000000000001,-4.9,2.8,-4.7,0.800000000000004,-2.1,1.5,-6,-1.8,-2.7,1.2,5.5
"95",2023,1,1,"Alabama",8,"Arkansas",1,9,4.59999999999999,-3.89999999999999,0.0616,0.700000000000003,-5,0.699999999999999,-4.4,3.3,-0.599999999999998,-2.09999999999999,-6.1,0.800000000000004,-5.7,2.1,-2.5,3.10000000000001,9.7
"96",2023,1,1,"Alabama",8,"Maryland",1,8,3.8,-7.09999999999999,0.0938,1.6,-6.4,2.8,-2.4,3.6,0.400000000000002,2.90000000000001,5,2.6,-6.5,0.799999999999997,-4,8,9.8
"97",2023,1,1,"Alabama",8,"Iowa",2,10,-3.59999999999999,-15.3,0.12,0.800000000000004,-11.8,4.9,-2.5,1.59999999999999,0,4.1,9.4,2.5,-11.4,-0.5,-8.5,3.10000000000001,10.4
"98",2023,1,1,"Alabama",9,"West Virginia",1,10,-0.400000000000006,-8.19999999999999,0.0628,1,-9.2,0.5,-4.9,0.0999999999999943,-1.7,-3,-5.7,3.3,-9.3,-1,-6,4,8.8
"99",2023,1,1,"Alabama",9,"Auburn",2,9,3.90000000000001,-5.39999999999999,0.0728,3.1,-4.1,0.899999999999999,-3.3,0.5,-4.4,1.2,-6.3,3.6,-5.7,2.4,-0.699999999999999,5,9.1
"100",2023,1,1,"Alabama",9,"Florida Atlantic",0,-2,4.2,-7,0.0983,-2.3,-4.4,2.3,-2.3,3.4,3.1,7.2,6.1,0.300000000000004,-3.59999999999999,-3.40000000000001,-3.9,4.5,6.3
"101",2023,1,1,"Alabama",9,"Illinois",2,9,6.90000000000001,-6.8,0.1323,1.1,-5.4,0.800000000000001,-2.6,1.5,0.800000000000001,2.90000000000001,3.2,-0.699999999999996,-4.09999999999999,2.9,-5.5,3,9.9
"102",2023,1,1,"Alabama",10,"Utah State",0,3,-0.200000000000003,-9.09999999999999,0.0758,-2.9,-6.3,1.6,0.199999999999999,6.4,2.8,1.2,2.6,0.5,-4.7,-4.7,-6.2,3.90000000000001,6.7
"103",2023,1,1,"Alabama",10,"Boise State",1,5,6.59999999999999,-4.89999999999999,0.0972,0.800000000000004,-5.8,2.3,-1.7,7.4,3.8,6,5.4,3.9,-6.59999999999999,-2.2,-2.9,6.2,7.7
