"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"61",2014,1,12,"Stephen F. Austin",77,5,"VCU",75,-2,"Slnd","A10",2,-4,-3.7,-11.8,0.1428,-4.4,-2.7,0.300000000000001,2,-3.3,1.9,-4.7,-11,-6.7,-1.2,0,-4.4,7.3,1.9
"62",2014,1,8,"Gonzaga",85,9,"Oklahoma State",77,8,"WCC","B12",1,7,-2,-1.5,-0.000299999999999967,2.8,-1.7,2.7,-2.6,2.6,-2.5,-8.5,-2.4,2.3,-1.7,2.6,-0.900000000000002,-2.7,2.6
"63",2014,1,14,"Mercer",78,3,"Duke",71,-7,"ASun","ACC",2,2,16.3,-3.2,0.2439,-0.200000000000003,2.5,-2.9,-0.5,3.2,0.199999999999999,1.5,-0.200000000000003,-1.3,3.4,0.700000000000003,-0.300000000000001,1.5,9.3
"64",2014,1,2,"Kansas",80,15,"Eastern Kentucky",69,11,"B12","OVC",3,3,7.10000000000001,-11.9,0.3093,-2.5,-8.6,3.3,-7.8,14.3,-5.2,5.09999999999999,-9.4,-0.200000000000003,-12.4,-4.6,-0.299999999999997,2.2,10.2
"65",2014,1,3,"Creighton",76,14,"Louisiana Lafayette",66,10,"BE","SB",3,7,14.7,-2.59999999999999,0.2587,7.4,-1.9,-3.8,-3.7,-8.8,-4,-10.4,-11,6.7,-3.6,4.3,1,-4.59999999999999,9.4
"66",2014,1,1,"Arizona",68,16,"Weber State",59,9,"P12","BSky",9,16,10.2,-19.2,0.4805,-2.4,-5.5,-3.3,5.3,8,-1.4,-8.7,-0.899999999999999,-0.399999999999999,-6.8,-3,-1.7,0,16.3
"67",2014,1,2,"Villanova",73,15,"Milwaukee",53,20,"BE","Horz",0,9,10.9,-11.4,0.4137,4.5,-2.8,-2.6,1.5,4,-2.5,-0.200000000000003,2.1,4.7,-7.4,2.9,4.3,-0.200000000000003,14.4
"68",2014,1,12,"North Dakota State",80,5,"Oklahoma",75,-5,"Sum","B12",3,0,4.3,-3.59999999999999,0.118,-2.8,-0.0999999999999943,0.0999999999999996,0.699999999999999,1.8,2.5,-2.2,-1.7,-6.7,2.7,3.2,-3.59999999999999,7.59999999999999,3.9
"69",2014,1,6,"Baylor",74,11,"Nebraska",60,14,"B12","B10",4,5,11,4.5,0.0712999999999999,3,1.1,1.1,-3.2,14.4,3,2.5,-12.6,0.899999999999999,-1.4,4.7,4.1,-3.50000000000001,1.8
"70",2014,1,3,"Syracuse",77,14,"Western Michigan",53,24,"ACC","MAC",2,6,9.5,-9.7,0.3551,-3.8,0.399999999999999,-6.1,3.4,7.1,-0.5,-13.2,2,-6,-2.3,0.5,3,-5.5,10.8
"71",2014,1,3,"Iowa State",93,14,"North Carolina Central",75,18,"B12","MEAC",4,2,10.7,-1.40000000000001,0.1885,4,3.3,-2.7,-7.8,-6.6,-4.6,-13.1,-14.1,3.6,2.8,3.3,3.1,7.5,8.1
"72",2014,1,4,"Louisville",71,13,"Manhattan",64,7,"Amer","MAAC",4,6,12.6,-8.80000000000001,0.2191,2.8,-1.5,-4.4,3.3,2.7,-0.599999999999994,-14.3,-14.4,4,0.299999999999997,-0.100000000000001,-4.1,-0.799999999999997,5.8
"73",2014,1,9,"Pittsburgh",77,8,"Colorado",48,-29,"ACC","P12",-1,-3,-10.2,2,-0.1521,-2.40000000000001,2.7,3.4,-1.4,-3.2,-2.9,4,-6.2,-1.5,1.8,-3.3,3,3.10000000000001,-1.7
"74",2014,1,7,"Texas",87,10,"Arizona State",85,2,"B12","P12",2,3,2.10000000000001,0.299999999999997,0.0255,-5,0.200000000000003,1.2,-0.699999999999999,15.1,0,0.899999999999999,3.7,-1.9,-2.4,-6.3,2.6,-0.599999999999994,2.4
"75",2014,1,12,"Harvard",61,5,"Cincinnati",57,-4,"Ivy","Amer",3,1,-3.2,-3.7,0.0142,-4.4,-1.40000000000001,-0.200000000000003,1.3,6.8,3,-9.7,-0.299999999999997,-3.1,-1.7,-5.1,-0.700000000000003,-2,3.1
