,Unnamed: 0,YEAR,ROUND,LSEED,LTEAM,LSCORE,SCORE_DIFF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,HSEED,HTEAM,HSCORE
80,81,2014,2,12,Harvard,73,7,7,3,7.69999999999999,0.0999999999999943,0.0678,2.4,-0.400000000000006,-0.200000000000003,-3.4,0.600000000000001,-1.8,-14.7,4.0,2.4,-1.4,0.600000000000001,0.5,0.700000000000003,4.7,4,Michigan State,73
81,82,2014,2,6,North Carolina,83,2,2,4,5.19999999999999,4.09999999999999,0.002,4.3,0.700000000000003,-2.4,-3.4,-9.3,-2.8,-6.5,-10.7,4.7,-0.700000000000003,2.2,2.4,0.799999999999997,3.3,3,Iowa State,83
82,83,2014,2,9,Pittsburgh,45,16,3,10,-1.19999999999999,-5.59999999999999,0.0314,1.5,-1.3,1.2,2.1,-1.90000000000001,-1.0,-1.9,-5.2,1.2,-2.0,0.799999999999997,0.399999999999999,-0.699999999999996,7.6,1,Florida,45
83,84,2014,2,8,Memphis,60,18,4,7,2.0,-7.5,0.097,-1.1,-4.2,-2.1,-1.9,-1.9,-7.5,2.5,-1.3,-3.7,-7.1,3.9,1.3,-8.3,5.4,1,Virginia,60
84,85,2014,2,8,Kentucky,78,-2,5,-5,0.799999999999997,3.2,-0.0233,-2.5,1.3,1.9,-2.1,7.0,3.5,4.9,1.09999999999999,-2.3,1.3,-1.8,1.1,0.800000000000011,-4.2,1,Wichita State,78
85,86,2014,2,8,Gonzaga,61,23,3,5,2.60000000000001,-5.89999999999999,0.0572,-3.5,-2.3,-1.7,1.7,5.8,-2.2,-0.200000000000003,-4.4,-2.9,-3.09999999999999,-2.6,0.199999999999999,-2.2,5.4,1,Arizona,61
86,87,2014,2,6,Baylor,85,-30,1,-3,-6.0,-2.40000000000001,-0.0259,-7.6,0.200000000000003,2.8,1.0,12.4,4.2,10.9,-0.700000000000003,-8.0,-0.600000000000001,-3.4,1.4,-2.50000000000001,-2.5,3,Creighton,85
87,88,2014,2,7,Texas,65,14,2,4,12.6,3.2,0.0788,8.3,2.9,-2.7,0.800000000000001,-10.2,0.300000000000001,-8.5,-14.3,5.8,7.3,7.5,-3.4,-6.1,4.1,2,Michigan,65
88,89,2014,2,5,Saint Louis,51,15,4,5,13.9,-2.80000000000001,0.1233,3.9,-0.5,-3.3,4.0,8.3,3.7,0.900000000000006,2.8,2.2,-0.100000000000001,5.1,-1.0,1.3,1.5,4,Louisville,51
89,90,2014,2,7,Oregon,77,8,4,6,4.60000000000001,-4.09999999999999,0.0721,-0.200000000000003,-1.9,-3.4,-3.6,-4.1,-4.5,-1.09999999999999,-20.7,0.299999999999997,-3.5,-1.3,1.7,-5.4,5.3,2,Wisconsin,77
90,91,2014,2,12,North Dakota State,44,19,4,6,-4.5,-12.3,0.1347,-7.8,-5.4,-0.4,3.5,5.5,1.5,3.5,-7.8,-10.3,-2.6,-0.5,-7.0,0.0,5.8,4,San Diego State,44
91,92,2014,2,14,Mercer,63,20,3,-1,8.5,-8.39999999999999,0.2381,-4.2,-0.299999999999997,-0.699999999999999,-2.1,7.7,-3.6,4.5,-9.5,-1.0,-2.4,-6.9,3.5,-2.1,3.2,11,Tennessee,63
92,93,2014,2,7,Connecticut,77,-12,6,3,-2.7,-1.2,-0.0089,-2.1,-1.7,-0.0,-0.399999999999999,-2.2,4.1,-6.2,-2.9,-5.7,-0.799999999999997,3.1,-2.3,-2.8,-3.6,2,Villanova,77
93,94,2014,2,11,Dayton,55,-2,3,-2,-1.2,6.3,-0.0968,4.2,0.799999999999997,3.3,-3.1,-4.2,-2.7,2.4,6.3,2.7,2.8,4.6,-1.3,3.90000000000001,-7.3,3,Syracuse,55
94,95,2014,2,10,Stanford,60,-3,1,-2,-7.5,0.900000000000006,-0.0834,-2.90000000000001,0.899999999999999,-2.1,0.600000000000001,-8.0,-0.699999999999999,-3.3,-8.5,-5.6,1.5,2.4,-0.600000000000001,-1.0,-5.8,2,Kansas,60
95,96,2014,2,12,Stephen F. Austin,60,17,4,-2,7.0,-5.0,0.164,1.8,-0.600000000000001,-2.4,-3.3,-8.4,-0.299999999999997,-1.7,-15.0,0.700000000000003,-1.4,3.1,-0.300000000000004,6.7,2.8,4,UCLA,60
96,97,2015,1,12,Wofford,53,3,3,1,10.9,-0.799999999999997,0.2149,-1.1,1.3,-0.300000000000001,2.3,6.3,6.9,-0.300000000000004,2.4,-0.300000000000004,-1.09999999999999,-1.9,4.3,8.7,3.7,5,Arkansas,53
97,98,2015,1,16,Coastal Carolina,72,14,10,16,24.6,-9.40000000000001,0.4341,4.8,0.0,-5.1,-1.1,-2.7,-4.3,-2.7,-12.6,6.7,-1.09999999999999,0.600000000000001,3.7,-4.8,16.4,1,Wisconsin,72
98,99,2015,1,13,Valparaiso,62,3,4,3,5.2,-0.5,0.0913,-0.0999999999999943,0.299999999999997,-0.100000000000001,-1.4,-5.8,3.1,7.9,-5.3,0.0,1.8,-0.799999999999997,-1.6,1.4,6.8,4,Maryland,62
99,100,2015,1,14,Northeastern,65,4,3,9,18.3,-2.40000000000001,0.2815,3.8,-1.9,-7.0,1.8,-2.2,6.9,-4.7,-0.899999999999999,5.2,-1.7,0.399999999999999,-1.8,0.299999999999997,13.2,3,Notre Dame,65
